run_id,scope,case,status,test_count,dependency_evidence,business_invariant,side_effects,boundary,evidence
m6c_20260823h,schema,M6cFlywayIT fresh V1-V11 and upgrade V10-V11,PASS,1/1,"dedicated MySQL 127.0.0.1:24330; sentinel exact; history=11","three M6C tables; BATCH_GRANT; indexes and cascade FK; historical ONCE preserved","fresh/upgrade outbox rows=0; no historical notification backfill","strace only dedicated MySQL/Redis and local Unix socket","/tmp/m6c-m6c_20260823h/m6c-tests.log"
m6c_20260823h,business,M6cBatchBusinessIT,PASS,6/6,"dedicated MySQL 127.0.0.1:24330; MySQL row locks","requestId=1 Job; immutable snapshot; 100 items; ONCE convergence; pause/resume; stable SKIPPED; retry only FAILED; cross-merchant denied","grant/count/outbox atomic; fixtures cleaned by test","no shared 3306/6379/9876/10911/9200 or unknown target","/tmp/m6c-m6c_20260823h/m6c-tests.log"
m6c_20260823h,notification,M6cRedisRecoveryIT,PASS,1/1,"dedicated Redis 127.0.0.1:27330; exact container label and sentinel","Redis stop does not undo Job/grant; pending retry; recovery publishes once to PUBLISHED","pending=1; oldest age from create_time; recovery_ms=25; post-recovery pending=0","Redis Pub/Sub + WebSocket only; no MQ claim","/tmp/m6c-m6c_20260823h/m6c-tests.log"
m6c_20260823h,metrics,100 item and Outbox runtime metrics,PASS,2 markers,"real MySQL item/campaign/Outbox rows","target=100; granted=100; idempotent=0; skipped=0; failed=0; quota_remaining=0","worker_batches=6; convergence_ms=722; oldest_age_ms=0 from real row","item latency P99=NA; entry rate limited=NA","/tmp/m6c-m6c_20260823h/m6c-tests.log"
m6c_20260823h,regression,M6A USER_CLAIM/ADMIN_GRANT and M6B TASK_REWARD,PASS,5/5,"same dedicated MySQL 127.0.0.1:24330; separate M6A/M6B guards","M6A flow=1/1; M6B daily task=4/4; existing ONCE/TASK_REWARD invariants hold","fixtures cleaned; no Redis/MQ/ES side effect","regression strace only dedicated MySQL and local Unix socket","/tmp/m6c-m6c_20260823h/m6a-m6b-regression.log"
m6c_20260823h,regression,Java 8 safe unit/MVC/metrics/WebSocket suite,PASS,24/24,"Maven offline; Dragonwell Java 8","worker defaults false; outbox transaction result; backlog gauges; permissions and DTO; WebSocket payload","no external side effect","unguarded external IT excluded","target/surefire-reports"
m6c_20260823h,frontend,Node M6C frontend contracts,PASS,1/1,"Node VM/static contract check","admin bounded polling and terminal stop; user VOUCHER_GRANTED eventId dedup and persistent refresh","no external side effect","contract scope only","scripts/check-m6c-frontend.js"
m6c_20260823h,frontend,admin Vite build,PASS,1/1,"local installed dependencies","production build succeeds","dist is ignored build output","no external service","frontend/admin build output"
m6c_20260823h,regression,Java 8 compile and test-compile,PASS,1/1,"Maven offline; Dragonwell Java 8","main/test sources compile","no external side effect","no legacy external IT","Maven compile output"
m6c_20260823b,historical,initial M6C integration attempt,FAILURE,8,"dedicated stack; first script sentinel provisioning race","tests exposed index-count, mapper-proxy and Redis restart-marker defects","failure evidence retained; run cleaned by exact ownership","not a final environment conclusion","/tmp/m6c-m6c_20260823b/"
m6c_20260823c,historical,requestId gap-lock concurrency attempt,FAILURE,8,"dedicated MySQL 127.0.0.1:24330","real MySQL deadlock exposed by lock ordering","no shared side effect; run cleaned","ordinary code defect corrected with new run-id","/tmp/m6c-m6c_20260823c/"
m6c_20260823d,historical,post-insert durable-read attempt,FAILURE,8,"dedicated MySQL/Redis","all but one business assertion passed; REPEATABLE READ visibility exposed","no shared side effect; run cleaned","ordinary code defect corrected with new run-id","/tmp/m6c-m6c_20260823d/"
m6c_20260823e,historical,strace IPv4-mapped IPv6 parser attempt,FAILURE,8,"all 8 Java tests passed; parser rejected ::ffff:127.0.0.1","audit parser defect only; no unknown target observed","run cleaned by exact ownership","not an application test failure","/tmp/m6c-m6c_20260823e/"
NA,boundary,unguarded RocketMQ/ES/default-port external IT,NOT_RUN,NA,"would violate M6C shared/unknown connection stop line","NA","not run","M6C does not claim MQ or ES notification-chain validation","docs/m6c-batch-notification-results.md"
