category,scenario,round_or_phase,samples,http_or_jmeter_errors,throughput_rps,p50_ms,p95_ms,p99_ms,mysql_queries_delta,redis_commands_delta,cache_hits,cache_misses,db_fallbacks,mq_lag_max,recovery_seconds,invariant_result,status,notes
baseline,B0-idle,1,0,0,0,,,,3295,15373,,,,,,pass,valid,"300s; CPU snapshot invalid because the first runner rounded process_cpu_usage"
baseline,B0-idle,2,0,0,0,,,,3299,15392,,,,,,pass,valid,"300s; CPU snapshot invalid because the first runner rounded process_cpu_usage"
baseline,B0-idle,3,0,0,0,,,,3299,15392,,,,,,pass,valid,"300s; CPU snapshot invalid because the first runner rounded process_cpu_usage"
baseline,B1-shop-cold,1,1000,0,1090.513,1,1,4,38,1164,998,2,2,,,pass,valid,"cache deleted before round"
baseline,B1-shop-warm,1,1000,0,1076.426,0,1,1,36,1162,1000,0,0,,,pass,valid,"same hot shop"
baseline,B1-shop-cold,2,1000,0,1076.426,0,1,2,38,1164,998,2,2,,,pass,valid,"cache deleted before round"
baseline,B1-shop-warm,2,1000,0,1082.251,0,1,1,38,1172,1000,0,0,,,pass,valid,"same hot shop"
baseline,B1-shop-cold,3,1000,0,1082.251,0,1,1,41,1199,998,2,2,,,pass,valid,"cache deleted before round"
baseline,B1-shop-warm,3,1000,0,1077.586,0,1,2,38,1187,1000,0,0,,,pass,valid,"same hot shop"
baseline,B2-hot-rank-not-ready,rerun,100,0,114.679,2,3,3,240,1084,,,,,,pass,valid,"metric delta: not_ready=1 and hit=99"
baseline,B2-hot-rank-ready,rerun,100,0,114.679,2,3,3,236,1062,,,,,,pass,valid,"metric delta: hit=100"
baseline,B2-hot-rank-stale,rerun,100,0,115.741,2,3,3,240,1093,,,,,,pass,valid,"metric delta: stale=1 and hit=99; MQ lag omitted because the original parser read the date column"
baseline,B2-like,changed,1,0,27.027,37,37,37,32,124,,,,,,pass,valid,"like changed=1"
baseline,B2-like-repeat,unchanged,1,0,50.000,20,20,20,30,124,,,,,,pass,valid,"like unchanged=1"
baseline,B2-unlike,changed,1,0,27.778,36,36,36,33,124,,,,,,pass,valid,"unlike changed=1"
baseline,B3-shop-search,pilot,100,0,109.769,6,9,106,138,172,,,,,,pass,valid,"HTTP search pilot; ES sync separately verified at consumer level"
baseline,B3-blog-search,pilot,100,0,110.497,4,6,52,38,197,,,,,,pass,valid,"HTTP search pilot; no Canal E2E claim"
baseline,B4-seckill,pilot,1000,0,210.040,2,12,115,,,,,,,675,pass,valid,"100 stock; MySQL orders=100; duplicate=0; Redis SUCCESS=100; processing=0"
fault,F1-redis,normal,29,0,,,,,,,,,,,,pass,valid,"29 HTTP 2xx"
fault,F1-redis,fault,20,20,,,,,,,,,,,,pass,negative,"20 transport timeouts at 2s; collector absent rather than zero"
fault,F1-redis,recovered,3,0,,,,,,,,,,,2,pass,negative,"3 HTTP 2xx; benchmark sessions and isolation sentinel were lost and required recreation"
fault,F2-mysql,normal,30,0,,,,,,,,,,,,pass,valid,"30 HTTP 2xx"
fault,F2-mysql,fault,20,20,,,,,,,,,,,,unavailable,negative,"20 transport timeouts at 2s; DB-backed invariants unavailable"
fault,F2-mysql,recovered,3,1,,,,,,,,,,,2,pass,negative,"2 HTTP 2xx and 1 transport timeout in the first 5s recovery window"
fault,F3-consumer-pause,fault,1,0,,,,,,,,,,1,,pass,valid,"HTTP 200; Redis PROCESSING; MySQL orders=0; Broker Diff Total=1"
fault,F3-consumer-pause,recovered,1,0,,,,,,,,,,0,4,pass,valid,"MySQL orders=1; Redis SUCCESS; duplicate=0; negative stock=0"
fault,F3-broker,fault,59,0,,,,,,,,,,,,pass,valid,"shop read control path remained 59/59 HTTP 2xx"
fault,F3-broker,recovered,5,0,,,,,,,,,,,9,pass,valid,"Broker management ready and shop read 5/5 HTTP 2xx"
fault,F4-elasticsearch,fault,60,0,,,,,,,,,,,,pass,negative,"HTTP stayed 200 while the application logged ES connection failures; no MySQL LIKE fallback"
fault,F4-elasticsearch,recovered,5,0,,,,,,,,,,,8,pass,valid,"ES cluster ready and search control path 5/5 HTTP 2xx"
