scenario,status,evidence_level,run_id,commit,new_request,accepted_work,recovery,invariant,evidence,limitations
redis_short_unavailable,PASS,isolated-real-it,m5d-20260822a,2f83b6b,"OTP and seckill 5/5 returned 503 AUTH_STATE_UNAVAILABLE; shop reads 5/5 used DB fallback","No order or stock mutation during the pause",79ms,"order and stock delta=0; broker groups main/retry/DLQ=0/0/0","docs/m5d-reliability-results.md §3 F1; docs/m5d-reliability-summary.csv","Short pause only; local recovery observation, not production SLA"
redis_full_data_loss,NOT_TESTED,not-tested,NA,NA,"Stop new reservation rather than initializing from an empty Redis key","Preserve accepted work and reconcile exact reservation/status after AOF or backup restore",NA,"RPO and order/stock/reservation reconciliation are not established","docs/seckill-reconciliation.md; docs/m7-evidence-index.md","No full-loss drill and no RPO claim; requires backup/AOF evidence"
mysql_unavailable,PASS,isolated-real-it,m5d-20260822a,2f83b6b,"Shop writes/reads fail with stable DATABASE_UNAVAILABLE behavior while safe fallback remains bounded","Business rows remain unchanged; accepted work is not acknowledged as a false success",11097ms,"business rows unchanged; Hikari pending and recovery probe recorded","docs/m5d-reliability-results.md §3 F2; docs/m5d-reliability-summary.csv","One leader retained an existing approximately 30s Hikari/driver boundary"
consumer_pause_delay,PASS,isolated-real-it,m5d-20260822a,2f83b6b,"An accepted order remains queryable as PROCESSING","Consumer resumes and settles the accepted order without duplicate or negative stock",21801ms,"order=reservation=SUCCESS=1; stock=999; processing/duplicates/negative stock=0","docs/m5d-reliability-results.md §3 F3; docs/m5d-reliability-summary.csv","Dedicated consumer group and demo-scale backlog"
es_unavailable,PASS,consumer-level,m5d-20260822a,2f83b6b,"Search returns SEARCH_OVERLOADED/SEARCH_UNAVAILABLE rather than unbounded LIKE fallback","Target ES message is retried and replayed after recovery",13373ms,"fixed document id 990001 count=1; MySQL unchanged","docs/m5d-reliability-results.md §3 F4; docs/m5d-reliability-summary.csv","RocketMQ consumer-level only; not Canal Server to RocketMQ to ES E2E"
broker_unavailable,PASS,isolated-real-it,m5d-20260822a,2f83b6b,"20/20 new seckill requests fail closed with SECKILL_SUBMIT_UNAVAILABLE","No local reservation, processing, DB or broker-visible business delta is created",NA,"stock/reservation/processing/DB/Broker-visible delta=0","docs/m5d-reliability-results.md §3 F5; docs/m5d-reliability-summary.csv","Only new-request admission is covered; no claim about arbitrary in-flight messages"
single_instance_overload,PASS,real-http-plus-contract,m5c-20260821e,2f83b6b,"Activity/user/IP and DB_READ/SEARCH limits return bounded 429/503","Accepted orders and consumer/reconciliation paths are outside the entry guard",NA,"C1/C2/C3/X1 accepted counts and stock invariants pass; permits return to zero","docs/m5c-resource-traffic-results.md §5; docs/m5c-resource-traffic-summary.csv","JVM-local semaphore/singleflight; no cluster-wide flow-control claim"
db_permanent_conflict_quarantine,PASS,unit-and-isolated-it,NA,dd36b4b,"Exact ownership failure is classified instead of guessed as missing","ORDER_ID_CONFLICT pauses the voucher and quarantines without automatic release; late delivery is fenced","reconciler retries or restores only after exact classification", "no wrong-owner order or automatic unsafe stock release", "docs/seckill-reconciliation.md; src/test/java/com/localdeals/service/SeckillOrderReconcilerTest.java; src/test/java/com/localdeals/service/SeckillOrderStateIT.java","No new M7 external injection; Redis persistence and lock semantics remain trust boundaries"
m6c_redis_pubsub_notification,PASS,isolated-real-it,m6c_20260823h,054b113,"Grant and Job complete while Redis is stopped; notification publication is deferred","Outbox remains PENDING and is retried after Redis recovery",25ms,"grant, granted_count and one outbox row commit together; pending reaches zero","docs/m6c-batch-notification-results.md §3-§4; docs/m6c-batch-notification-summary.csv","PUBLISHED means Redis accepted publish, not online/read/received; not RocketMQ notification"
websocket_disconnect,BOUNDARY,contract-level/manual-demo-ready,m7_local_20260823,after-m7-contract,"onclose/onerror enters bounded /voucher-grants/mine polling","Persistent grant list remains final fact; a VOUCHER_GRANTED event refreshes and deduplicates the list",NA,"maximum 10 polls and total deadline; SUCCESS/FAILED stops polling","scripts/check-m7-frontend.js; frontend/user/info.html; docs/m7-demo-runbook.md","No real browser E2E; local contract/manual-demo-ready only"
canal_full_e2e,NOT_TESTED,not-tested,NA,2f83b6b,"No new-request claim","No accepted-work or recovery claim","NA","NA","docs/m5d-reliability-results.md §1 and §5; docs/m7-evidence-index.md","Existing ES evidence invokes the consumer directly; Canal Server to RocketMQ to ES was not verified"
m6_rocketmq_notification,NOT_APPLICABLE,not-applicable,m6c_20260823h,054b113,"M6 notification uses Redis Pub/Sub and the independent user WebSocket channel","Grant facts and Outbox do not depend on a new MQ notification consumer",NA,"No MQ notification topic or consumer was added","docs/m6c-batch-notification-results.md §1 and §6","Do not describe M6 notification as RocketMQ delivery"
redis_stream_history,HISTORICAL_ONLY,historical-baseline,baseline-and-reliable-stream,bba9952,"Historical Redis Stream experiment only","Historical pending/DLQ comparison only",NA,"Historical correctness/pending observations are preserved","docs/reliability-results.md; docs/JmeterTestSummary/seckill-baseline-lua-stream/; docs/JmeterTestSummary/seckill-reliable-v1/","Not the current formal order path; cannot calculate RocketMQ performance uplift"
