scenario,status,evidence_level,run_id,commit,target,accepted,rejected_stock,rejected_duplicate,rejected_rate,unavailable,orders,db_stock,redis_reservation,redis_success,processing,duplicate_orders,mq_main_lag,mq_retry_lag,mq_dlq_lag,p50_ms,p95_ms,p99_ms,throughput_per_sec,drain_ms,worker_batches,convergence_ms,grant_rows,campaign_granted_count,outbox_rows,duplicate_grants,fixture_cleanup,limitations
warmup,PASS,isolated-real-it,m7rc_20260823i,d063764,100 requests,100,0,0,0,0,100,900,100,100,0,0,0,0,0,4,4,21,20.55498,14574,NA,NA,NA,NA,NA,NA,users/orders cleaned,"Excluded from formal S1/S2; local timing only"
S1-r1,PASS,isolated-real-it,m7rc_20260823i,d063764,1000 threads / stock 1000,1000,0,0,0,0,1000,0,1000,1000,0,0,0,0,0,2,3,64,208.85547,13042,NA,NA,NA,NA,NA,NA,reset after round,"JMeter threads are not strict simultaneous concurrency"
S1-r2,PASS,isolated-real-it,m7rc_20260823i,d063764,1000 threads / stock 1000,1000,0,0,0,0,1000,0,1000,1000,0,0,0,0,0,2,3,45,209.55574,13171,NA,NA,NA,NA,NA,NA,reset after round,"JMeter threads are not strict simultaneous concurrency"
S1-r3,PASS,isolated-real-it,m7rc_20260823i,d063764,1000 threads / stock 1000,1000,0,0,0,0,1000,0,1000,1000,0,0,0,0,0,2,4,61,206.14306,13696,NA,NA,NA,NA,NA,NA,reset after round,"JMeter threads are not strict simultaneous concurrency"
S1-median,PASS,derived-from-three-real-runs,m7rc_20260823i,d063764,three-round median,1000,0,0,0,0,1000,0,1000,1000,0,0,0,0,0,2,3,NA,208.85547,13171,NA,NA,NA,NA,NA,NA,NA,"Median is not a new load run; P99 reported separately as worst=64ms"
S1-worst-p99,PASS,derived-from-three-real-runs,m7rc_20260823i,d063764,three-round worst P99,1000,0,0,0,0,1000,0,1000,1000,0,0,0,0,0,NA,NA,64,NA,13696,NA,NA,NA,NA,NA,NA,NA,"Worst value is retained, not selected away"
S2-r1,PASS,isolated-real-it,m7rc_20260823i,d063764,1000 threads / stock 100,100,900,0,0,0,100,0,100,100,0,0,0,0,0,1,2,26,211.14865,7503,NA,NA,NA,NA,NA,NA,reset after round,"Total throughput includes fast stock rejects and is not successful-order throughput"
M6C-batch-1000,PASS,isolated-real-it,m7rc_20260823i,d063764,1000 tagged members,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,59,4285,1000,1000,1000,0,"users/merchants/tags/campaigns=0","Local business integration sample; item P99 and entry rate limit are NA"
M6C-outbox-recovery,PASS,reused-isolated-real-it,m6c_20260823h,054b113,Redis Pub/Sub recovery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,"pending row oldest age from create_time; PUBLISHED means Redis accepted publish"
flyway-v1-v11,PASS,isolated-real-it,m7rc_20260823i,d063764,fresh V1 to V11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh history=11; no historical notification"
flyway-v1-v11,PASS,isolated-real-it,m7rc_20260823i,d063764,upgrade V8 to V11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,history=11; later tables/indexes/FK checked
explicit-java-it,PASS,isolated-real-it,m7rc_20260823i,d063764,5 groups / 17 targets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all explicit auth/marketing/flyway/seckill/core statuses=0; Canal is consumer-level"
safe-unit-321,PASS,offline-unit,d063764,d063764,Java 8 default safe tests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321 tests; 0 failure/error/skip; no external dependency
