run_id,scope,case,status,test_count,dependency_evidence,business_invariant,side_effects,boundary,evidence
m6a_20260822c,R0,Flyway fresh V1-V9 and upgrade V8-V9,PASS,1/1,"dedicated MySQL 127.0.0.1:24318; history=9; schema assert; role matrix=5; marker=1","fresh and upgrade schemas match expected M6A contract","M6A fixture=0 after isolated rollback","no TCP target except dedicated MySQL; no MQ Redis ES runtime","/tmp/m6a-r0-20260822c.MOFKLl/"
m6a_20260822c,R0,MarketingAdminIsolationIT,PASS,1/1,"bean absence assertions; MySQL 127.0.0.1:24318","merchant isolation=1/1; transaction rollback","merchant/admin/shop/voucher/order/tag/member/campaign/grant=0","no 9876/10911/9200/3306/6379 or unknown AF target","/tmp/m6a-r0-20260822c.MOFKLl/"
m6a_20260822c,grant,MarketingGrantConcurrencyIT,PASS,5/5,"real dedicated MySQL 127.0.0.1:24318","same user 100=1; quota 10=10; claim/admin=1; stale version=0 side effect; tag race invariant","grant and campaign counts match expected invariants","all TCP targets dedicated MySQL","/tmp/m6a-final-20260822c.ZZd31C/"
m6a_20260822c,api,Controller MVC security,PASS,3/3,"MockMvc security boundary","anonymous/read-only/cross-role requests denied as specified","no external dependency","unit/MVC scope only","/tmp/m6a-api-20260822c.c7bglp/"
m6a_20260822c,fault,M6aRedisAuthFailureIT,PASS,1/1,"dedicated Redis 127.0.0.1:27391; sentinel exact","invalid token=401; UserHolder=null","DBSIZE unchanged; sentinel only","no shared Redis target","/tmp/m6a-redis-20260822c.kBxLQ1/"
m6a_20260822c,fault,M6aMysqlStopFailureIT,PASS,1/1,"exact c MySQL label/name; 127.0.0.1:24318","stop=503 DATABASE_UNAVAILABLE","grant count unchanged; exact container recovered","only dedicated MySQL TCP plus local Docker socket","/tmp/m6a-mysql-fault-20260822c.HD9KJK/"
m6a_20260822c,regression,Java 8 safe non-external unit suite,PASS,307/307,"no external TCP targets","unit contracts and failure mappings pass","no external side effect","unguarded legacy external IT excluded","/tmp/m6a-java8-unit-20260822c.ck4N7F/"
m6a_20260822b,historical,R0 marker-order attempt,BLOCKED,2 errors,"dedicated MySQL 127.0.0.1:24317; target marker written before Flyway","no M6A fixture; sentinel/partial history retained","historical negative evidence retained; not a PASS","do not reclassify","/tmp/m6a-r0-20260822b.txNjKg/"
NA,regression,unguarded legacy external IT,NOT_RUN,NA,"would use shared RocketMQ or default 3306/6379/9200","NA","not run","hard shared/unknown connection stop line","docs/evidence/m6/m6a-targeted-grant-results.md"
m6a_close_20260822a,close,focused business flow before safe grant response hardening,PASS,2/2,"dedicated MySQL 127.0.0.1:24319; corrected datasource parameters","grant=1; granted_count=1; idempotent same grant; ALREADY_GRANTED; ineligible zero side effect","close fixture=0 after cleanup","business-rerun strace only dedicated MySQL and nscd","/tmp/m6a-close-20260822a.3bg8fd/business-rerun.*"
m6a_close_20260822a,close,final focused rerun after safe grant response hardening,BLOCKED,2 errors,"datasource variables omitted; Spring fell back to shared 127.0.0.1:3306; dedicated MySQL was not used","tests did not enter business flow","dedicated close fixture=0; shared authentication failed before writes","strace recorded 2 shared 3306 targets; hard stop; no real dependency rerun","/tmp/m6a-close-20260822a.3bg8fd/business-final.*"
m6a_close_20260822b,R1,M6aFlywayIT schema provisioning,PASS,1/1,"dedicated MySQL 127.0.0.1:24320; sentinel exact","fresh/upgrade history=9; four M6A tables; markers=1","no business fixture","strace only dedicated MySQL and nscd","/tmp/m6a-close-r1-20260822b.f4WypC/flyway-setup.*"
m6a_close_20260822b,R1,M6aBusinessFlowIT + MarketingAdminIsolationIT,PASS,2/2,"guarded datasource; dedicated MySQL 127.0.0.1:24320","claim=1; retry same grant; ALREADY_GRANTED; ineligible zero side effect; bean absence","tag/member/campaign/grant/order/account=0 after cleanup","20 dedicated MySQL TCP; 6 nscd; no shared or unknown AF target","/tmp/m6a-close-r1-20260822b.f4WypC/business-r1.*"
m6a_close_20260822b,regression,Java 8 compile and test-compile,PASS,1/1,"Maven offline; Java 8","compile and test-compile succeed","no external side effect","no legacy external IT","/tmp/m6a-close-r1-20260822b.f4WypC/java8-compile.log"
m6a_close_20260822b,regression,Java 8 safe non-external unit suite,PASS,308/308,"Maven offline; Java 8","unit contracts and failure mappings pass","no external side effect","unguarded legacy external IT excluded","/tmp/m6a-close-r1-20260822b.f4WypC/java8-safe-regression.log"
m6a_close_20260822b,api,MarketingMvcSecurityTest,PASS,4/4,"MockMvc security boundary","safe campaign/grant DTO; anonymous/read-only/write permissions","no external side effect","MVC scope only","/tmp/m6a-close-r1-20260822b.f4WypC/marketing-mvc.log"
m6a_close_20260822b,frontend,Node M6A/M5C frontend contracts,PASS,2/2,"Node VM contract checks","anonymous no list; claim body/version; duplicate click guard; reload on success/failure","no external side effect","frontend contract scope only","scripts/check-m6a-frontend.js; scripts/check-m5c-frontend.js"
m6a_close_20260822b,frontend,admin Vite build,PASS,1/1,"local installed dependencies","production build succeeds","dist is ignored build output","no external service","/tmp/m6a-close-r1-20260822b.f4WypC/admin-vite-build.log"
