scenario,evidence,status,total,http_200,http_401,http_429,http_503,p95_ms,p99_ms,max_ms,decision_or_invariant
C0,real HTTP,PASS,100,80,20,0,0,169.984,170.950,170.950,"worst protected endpoint; seckill orders=reservation=SUCCESS=20; DB/Redis stock=980; processing=duplicates=0; throughput=NA incomparable probe"
C1,real HTTP plus metrics,PASS,320,300,0,20,0,191.551,242.672,264.942,"allowed/orders/reservation/SUCCESS=300; rejected activity=20; DB/Redis stock=700; rejected max=56.170ms"
C2,real HTTP plus metrics,PASS,22,2,0,20,0,10.179,12.273,12.273,"allowed=2; rejected user=20; one business duplicate; orders/reservation/SUCCESS=1; DB/Redis stock=999"
C3,real HTTP plus metrics,PASS,120,100,0,20,0,41.982,49.281,55.375,"allowed/orders/reservation/SUCCESS=100; rejected IP=20; DB/Redis stock=900; rejected max=18.540ms"
C4,Java latch contract,PASS,24,NA,NA,20,NA,NA,NA,"<250","configured max concurrent=4; 20 overflow attempts rejected; permit returned to zero"
C5,Java latch contract,PASS,21,NA,NA,NA,20,"about 750","about 750","<1500","one leader and 20 followers; one callback; leader retained after follower timeout"
C6,Java and real ES fault,PASS,40,0,0,36,4,1012.289,1014.008,1014.008,"SEARCH max concurrent=4; no MySQL LIKE fallback"
X1,two JVM real HTTP plus metrics,PASS,320,300,0,20,0,341.923,376.663,393.312,"allowed/orders/reservation/SUCCESS=300 across both JVMs; DB/Redis stock=700; rejected max=71.339ms"
X2,two JVM real HTTP plus metrics,PASS,40,40,0,0,0,35.267,37.252,37.252,"combined DB fallback delta=2; explicitly per-JVM rather than cluster singleflight"
F1,Redis pause real HTTP,PASS,80,20,0,0,60,508.153,509.831,509.831,"OTP/admin/seckill 20/20 each returned stable 503; shop control 20/20 returned DB truth"
F2,MySQL stop real HTTP,PASS,41,0,0,16,25,30011.662,30012.504,30012.504,"4 licensed leaders retained about 30s Hikari boundary; 16 distinct overflow 429; 20 followers about 750ms 503 plus one leader"
F3,ES pause real HTTP,PASS,40,0,0,36,4,1012.289,1014.008,1014.008,"one isolated runner socket-timeout adjustment from 1s to 800ms; only 429/503"
F4,dedicated RocketMQ consumer pause,PASS,321,301,0,20,0,72.891,90.566,102.210,"accepted before pause; main/retry/total lag 301/0/301 to 0/0/0 in 14980ms; orders=SUCCESS=301; processing=duplicates=negative stock=0"
F5,strict Broker preflight,BLOCKED,0,0,0,0,0,NA,NA,NA,"process TCP preflight did not fully pass; no broker stop and no probe sent"
R1,real dependency recovery,PASS,2,2,0,0,0,9.756,9.756,9.756,"both JVM readiness checked after MySQL recovery; shop and search probes returned correct 200"
